date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:16	339426/339426	---MCZ	200	added ('OK')	text/html	etag:W/%22623c111a-52de2%22	https://bootstrap-ecommerce.com/components.html	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/components.html	(from )
10:21:17	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2012%20Apr%202022%2003:21:17%20GMT	https://bootstrap-ecommerce.com/robots.txt		(from )
10:21:17	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2261f83d09-47e%22	https://bootstrap-ecommerce.com/assets/images/favicon.ico	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/assets/images/favicon.ico	(from https://bootstrap-ecommerce.com/components.html)
10:21:18	187107/187107	---MCZ	200	added ('OK')	text/css	etag:W/%2261f83e0e-2dae3%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/css/bootstrap.css?v=3.0	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/css/bootstrapc3db.css	(from https://bootstrap-ecommerce.com/components.html)
10:21:18	20934/20934	---MCZ	200	added ('OK')	text/css	etag:W/%2261f83e0d-51c6%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/css/ui.css?v=3.0	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/css/uic3db.css	(from https://bootstrap-ecommerce.com/components.html)
10:21:18	622/622	---MCZ	200	added ('OK')	text/css	etag:W/%2261f83e0d-26e%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/css/responsive.css?v=3.0	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/css/responsivec3db.css	(from https://bootstrap-ecommerce.com/components.html)
10:21:19	74328/74328	---M--	200	added ('OK')	font/woff2	etag:%2261f83f12-12258%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/fonts/fontawesome/webfonts/fa-solid-900.woff2	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/fonts/fontawesome/webfonts/fa-solid-900.woff2	(from https://bootstrap-ecommerce.com/components.html)
10:21:19	55183/55183	---MCZ	200	added ('OK')	text/css	etag:W/%2261f83ee3-d78f%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/fonts/fontawesome/css/all.min.css	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/fonts/fontawesome/css/all.min.css	(from https://bootstrap-ecommerce.com/components.html)
10:21:20	4889/4889	---MCZ	200	added ('OK')	text/css	etag:W/%2261ff950a-1319%22	https://bootstrap-ecommerce.com/assets/css/style.css?v=2.3	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/assets/css/style2d4c.css	(from https://bootstrap-ecommerce.com/components.html)
10:21:20	19245/19245	---MCZ	200	added ('OK')	text/html	etag:W/%22623c1107-4b2d%22	https://bootstrap-ecommerce.com/index.html	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/index.html	(from https://bootstrap-ecommerce.com/components.html)
10:21:20	15395/15395	---M--	200	added ('OK')	image/png	etag:%2261f83d0e-3c23%22	https://bootstrap-ecommerce.com/assets/images/logo.png?v=3	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/assets/images/logo30f4.png	(from https://bootstrap-ecommerce.com/components.html)
10:21:21	17114/17114	---MCZ	200	added ('OK')	text/html	etag:W/%22623c111e-42da%22	https://bootstrap-ecommerce.com/documentation.html	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/documentation.html	(from https://bootstrap-ecommerce.com/components.html)
10:21:21	9187/9187	---MCZ	200	added ('OK')	text/html	etag:W/%22623c1126-23e3%22	https://bootstrap-ecommerce.com/templates.html	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/templates.html	(from https://bootstrap-ecommerce.com/components.html)
10:21:21	8332/8332	---M--	200	added ('OK')	image/jpeg	etag:%2261f7fce2-208c%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/items/1.jpg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/items/1.jpg	(from https://bootstrap-ecommerce.com/components.html)
10:21:22	17148/17148	---M--	200	added ('OK')	image/jpeg	etag:%2261f7fce2-42fc%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/items/2.jpg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/items/2.jpg	(from https://bootstrap-ecommerce.com/components.html)
10:21:22	10662/10662	---M--	200	added ('OK')	image/jpeg	etag:%226146f3a1-29a6%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/avatars/avatar1.jpg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/avatars/avatar1.jpg	(from https://bootstrap-ecommerce.com/components.html)
10:21:23	8523/8523	---M--	200	added ('OK')	image/jpeg	etag:%226146f3a1-214b%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/avatars/avatar2.jpg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/avatars/avatar2.jpg	(from https://bootstrap-ecommerce.com/components.html)
10:21:23	6302/6302	---M--	200	added ('OK')	image/jpeg	etag:%2261c8a96c-189e%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/posts/0.jpg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/posts/0.jpg	(from https://bootstrap-ecommerce.com/components.html)
